VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00003357,2023-08-10,ZOR,C000019,1000,10,00,EUR
OR00003358,2022-12-01,ZOR,C000056,3000,10,02,USD
OR00003359,2023-12-07,RE,C000013,2000,10,00,EUR
OR00003360,2023-07-11,RE,C000012,1000,20,00,USD
OR00003361,2023-11-10,ZOR,C000051,3000,30,00,USD
OR00003362,2022-08-13,RE,C000046,1000,30,01,GBP
OR00003363,2023-08-06,OR,C000055,2000,20,02,USD
OR00003364,2022-08-05,ZOR,C000070,2000,10,02,EUR
OR00003365,2024-05-17,ZOR,C000027,1000,10,02,GBP
OR00003366,2023-06-23,RE,C000047,2000,30,02,GBP
OR00003367,2022-10-07,OR,C000014,1000,10,02,USD
OR00003368,2022-08-11,OR,C000061,1000,30,01,EUR
OR00003369,2022-05-10,ZOR,C000053,1000,20,00,USD
OR00003370,2023-08-08,OR,C000016,3000,10,01,USD
OR00003371,2022-06-13,RE,C000038,1000,30,00,USD
OR00003372,2023-05-23,OR,C000025,1000,30,00,EUR
OR00003373,2022-08-05,RE,C000065,3000,20,00,USD
OR00003374,2023-07-13,RE,C000062,2000,30,02,GBP
OR00003375,2023-11-29,ZOR,C000043,1000,10,02,USD
OR00003376,2023-10-22,RE,C000022,1000,30,02,USD
OR00003377,2023-10-06,OR,C000070,1000,20,01,GBP
OR00003378,2022-05-05,ZOR,C000070,1000,30,00,GBP
OR00003379,2021-12-03,RE,C000077,2000,20,02,GBP
OR00003380,2023-08-12,RE,C000067,1000,30,02,EUR
OR00003381,2022-11-18,ZOR,C000040,1000,30,00,USD
OR00003382,2023-01-14,RE,C000067,2000,30,00,EUR
OR00003383,2021-07-19,RE,C000023,3000,20,00,USD
OR00003384,2022-07-31,ZOR,C000057,3000,30,00,EUR
OR00003385,2021-07-27,OR,C000066,3000,10,00,USD
OR00003386,2024-02-14,ZOR,C000034,2000,30,02,EUR
OR00003387,2022-07-12,RE,C000077,2000,20,00,USD
OR00003388,2023-04-25,OR,C000023,1000,30,02,GBP
OR00003389,2021-08-12,RE,C000025,2000,30,00,EUR
OR00003390,2023-07-17,RE,C000017,3000,20,00,GBP
OR00003391,2022-10-05,OR,C000038,2000,30,02,USD
OR00003392,2024-03-10,OR,C000023,2000,20,00,USD
OR00003393,2024-02-26,RE,C000004,1000,30,01,USD
OR00003394,2022-10-08,OR,C000046,1000,20,01,USD
OR00003395,2024-03-15,OR,C000004,1000,30,00,USD
OR00003396,2024-11-03,OR,C000038,2000,30,01,USD
OR00003397,2023-12-11,OR,C000071,2000,20,02,GBP
OR00003398,2024-01-02,ZOR,C000079,2000,30,02,EUR
OR00003399,2022-07-19,RE,C000043,2000,20,02,GBP
OR00003400,2023-05-09,RE,C000015,2000,20,02,USD
OR00003401,2021-10-21,OR,C000005,3000,30,02,GBP
OR00003402,2021-12-15,OR,C000037,3000,30,02,EUR
OR00003403,2024-11-30,ZOR,C000001,2000,30,02,GBP
OR00003404,2022-10-09,OR,C000023,1000,30,02,GBP
OR00003405,2023-09-24,OR,C000069,3000,10,02,EUR
OR00003406,2023-11-20,ZOR,C000031,2000,10,00,USD
OR00003407,2024-01-18,OR,C000041,1000,20,02,EUR
OR00003408,2024-11-16,ZOR,C000006,2000,20,01,USD
OR00003409,2022-07-10,ZOR,C000007,3000,10,01,GBP
OR00003410,2021-08-16,ZOR,C000035,2000,10,01,USD
OR00003411,2022-12-27,ZOR,C000020,3000,20,00,GBP
OR00003412,2022-02-12,RE,C000065,2000,30,02,GBP
OR00003413,2021-06-19,ZOR,C000017,3000,20,00,EUR
OR00003414,2022-11-10,OR,C000050,2000,10,00,USD
OR00003415,2023-10-28,OR,C000055,2000,30,02,USD
OR00003416,2023-05-01,OR,C000062,1000,30,02,EUR
OR00003417,2022-09-25,OR,C000035,3000,20,02,EUR
OR00003418,2023-07-07,RE,C000061,3000,20,02,USD
OR00003419,2022-06-29,ZOR,C000003,3000,10,01,USD
OR00003420,2021-05-16,ZOR,C000001,2000,10,00,USD
OR00003421,2023-10-09,ZOR,C000065,1000,30,02,USD
OR00003422,2023-06-13,RE,C000071,2000,30,01,USD
OR00003423,2023-10-07,RE,C000013,3000,10,00,EUR
OR00003424,2021-08-12,ZOR,C000028,1000,10,00,GBP
OR00003425,2023-12-24,OR,C000048,2000,10,01,GBP
OR00003426,2023-06-10,ZOR,C000048,3000,30,01,USD
OR00003427,2023-04-29,OR,C000068,1000,10,02,USD
OR00003428,2023-06-14,OR,C000064,3000,20,01,GBP
OR00003429,2024-01-26,RE,C000048,1000,10,00,USD
OR00003430,2023-05-17,ZOR,C000007,3000,30,00,USD
OR00003431,2023-05-12,OR,C000003,3000,10,02,GBP
OR00003432,2024-10-02,ZOR,C000065,2000,30,01,GBP
OR00003433,2023-10-02,RE,C000026,3000,30,02,GBP
OR00003434,2023-01-23,ZOR,C000012,2000,30,02,GBP
OR00003435,2023-08-19,RE,C000054,1000,20,00,USD
OR00003436,2022-12-07,OR,C000065,2000,20,02,EUR
OR00003437,2022-06-26,RE,C000022,2000,30,01,USD
OR00003438,2023-05-24,OR,C000009,2000,20,01,EUR
OR00003439,2024-04-27,ZOR,C000007,2000,30,02,USD
OR00003440,2024-04-29,ZOR,C000030,3000,10,02,EUR
OR00003441,2022-10-24,OR,C000067,2000,10,00,USD
OR00003442,2023-04-02,RE,C000061,3000,30,01,EUR
OR00003443,2022-06-05,ZOR,C000061,1000,30,01,USD
OR00003444,2024-10-30,RE,C000033,1000,30,02,USD
OR00003445,2024-08-26,ZOR,C000069,3000,30,00,EUR
OR00003446,2023-07-03,OR,C000057,1000,10,01,EUR
OR00003447,2023-11-18,OR,C000029,3000,30,02,EUR
OR00003448,2023-08-26,ZOR,C000058,2000,30,02,EUR
OR00003449,2023-05-21,RE,C000076,2000,20,01,GBP
OR00003450,2021-09-19,OR,C000057,3000,30,02,USD
OR00003451,2023-02-02,ZOR,C000014,1000,20,00,GBP
OR00003452,2023-07-23,RE,C000042,1000,30,02,USD
OR00003453,2023-07-25,ZOR,C000048,2000,20,01,USD
OR00003454,2022-11-22,OR,C000029,3000,20,00,EUR
OR00003455,2024-05-22,OR,C000035,3000,30,01,USD
OR00003456,2022-04-08,OR,C000043,1000,10,00,EUR
OR00003457,2023-03-11,ZOR,C000072,2000,10,01,GBP
OR00003458,2023-08-05,OR,C000076,1000,30,01,USD
OR00003459,2023-08-10,RE,C000036,1000,20,01,USD
OR00003460,2023-07-02,RE,C000028,3000,30,00,GBP
OR00003461,2022-08-17,ZOR,C000077,1000,30,00,USD
OR00003462,2022-03-23,ZOR,C000070,3000,10,02,EUR
OR00003463,2023-06-22,OR,C000078,2000,20,00,USD
OR00003464,2023-05-26,ZOR,C000014,1000,30,00,EUR
OR00003465,2022-04-24,ZOR,C000025,1000,30,02,GBP
OR00003466,2023-08-17,RE,C000045,3000,20,02,GBP
OR00003467,2023-02-02,ZOR,C000060,2000,30,00,USD
OR00003468,2023-07-17,RE,C000006,1000,10,01,GBP
OR00003469,2023-12-24,RE,C000050,2000,20,02,USD
OR00003470,2022-04-11,RE,C000070,1000,30,00,EUR
OR00003471,2021-06-06,OR,C000057,2000,20,00,EUR
OR00003472,2023-10-24,ZOR,C000079,3000,20,02,GBP
OR00003473,2023-06-03,ZOR,C000052,3000,30,00,USD
OR00003474,2023-08-12,ZOR,C000005,3000,30,02,GBP
OR00003475,2023-12-25,ZOR,C000075,1000,10,02,USD
OR00003476,2023-11-16,ZOR,C000029,3000,20,02,EUR
OR00003477,2024-07-01,ZOR,C000037,1000,30,02,USD
OR00003478,2023-04-08,OR,C000045,1000,10,02,GBP
OR00003479,2023-03-02,RE,C000001,2000,30,00,USD
OR00003480,2022-12-18,RE,C000034,2000,10,01,GBP
OR00003481,2022-03-20,OR,C000013,2000,20,01,GBP
OR00003482,2023-05-06,RE,C000036,2000,10,00,EUR
OR00003483,2022-08-19,RE,C000009,1000,10,02,USD
OR00003484,2024-04-15,RE,C000040,3000,30,02,USD
OR00003485,2023-05-14,OR,C000022,3000,20,01,USD
OR00003486,2023-05-21,ZOR,C000056,1000,30,00,EUR
OR00003487,2022-11-05,ZOR,C000025,3000,20,01,USD
OR00003488,2021-09-15,RE,C000026,3000,20,01,GBP
OR00003489,2021-07-21,RE,C000027,1000,20,00,USD
OR00003490,2023-01-06,OR,C000069,3000,30,00,GBP
OR00003491,2021-11-25,ZOR,C000034,2000,10,01,USD
OR00003492,2023-06-01,RE,C000075,3000,20,01,GBP
OR00003493,2024-02-16,ZOR,C000034,3000,30,02,USD
OR00003494,2024-02-19,ZOR,C000048,1000,20,00,USD
OR00003495,2023-07-10,RE,C000051,1000,20,02,GBP
OR00003496,2022-06-04,OR,C000052,1000,20,00,USD
OR00003497,2024-01-24,ZOR,C000018,1000,10,01,EUR
OR00003498,2024-02-23,RE,C000036,2000,10,01,GBP
OR00003499,2022-05-17,ZOR,C000050,3000,10,00,GBP
OR00003500,2023-09-14,ZOR,C000003,2000,10,01,GBP
OR00003501,2022-08-29,ZOR,C000068,1000,20,02,EUR
OR00003502,2023-11-16,OR,C000075,1000,20,00,GBP
OR00003503,2024-11-12,OR,C000027,1000,30,01,EUR
OR00003504,2021-07-15,OR,C000021,2000,30,02,GBP
OR00003505,2024-03-10,OR,C000007,3000,20,01,GBP
OR00003506,2023-06-12,RE,C000002,2000,10,01,USD
OR00003507,2024-08-02,ZOR,C000047,1000,20,01,GBP
OR00003508,2023-02-11,ZOR,C000071,3000,30,02,EUR
OR00003509,2024-01-05,ZOR,C000013,3000,20,01,GBP
OR00003510,2021-10-10,ZOR,C000004,2000,10,00,EUR
OR00003511,2022-10-17,ZOR,C000070,1000,20,01,GBP
OR00003512,2021-10-20,RE,C000034,3000,20,00,GBP
OR00003513,2024-08-08,RE,C000036,1000,10,01,USD
OR00003514,2023-12-01,ZOR,C000055,3000,20,02,GBP
OR00003515,2024-01-11,OR,C000066,1000,30,02,GBP
OR00003516,2024-05-15,OR,C000035,2000,30,02,USD
OR00003517,2021-11-26,ZOR,C000008,3000,20,00,USD
OR00003518,2022-12-04,RE,C000040,1000,30,00,GBP
OR00003519,2021-10-29,RE,C000019,2000,10,01,USD
OR00003520,2022-06-04,OR,C000073,1000,10,01,USD
OR00003521,2022-06-26,OR,C000060,3000,10,02,USD
OR00003522,2023-02-14,RE,C000030,3000,10,01,GBP
OR00003523,2022-08-10,ZOR,C000065,2000,30,00,EUR
OR00003524,2021-12-26,ZOR,C000060,1000,30,02,EUR
OR00003525,2022-04-08,OR,C000023,1000,10,01,EUR
OR00003526,2022-03-11,ZOR,C000056,3000,10,00,USD
OR00003527,2024-08-01,ZOR,C000015,1000,10,00,EUR
OR00003528,2023-10-04,ZOR,C000080,2000,30,00,USD
OR00003529,2024-07-18,RE,C000025,1000,10,02,EUR
OR00003530,2023-01-20,RE,C000039,3000,10,02,GBP
OR00003531,2022-08-20,ZOR,C000007,2000,20,00,EUR
OR00003532,2023-11-12,OR,C000075,2000,30,00,USD
OR00003533,2022-10-08,ZOR,C000018,1000,20,00,EUR
OR00003534,2022-09-11,OR,C000016,2000,30,01,USD
OR00003535,2022-06-30,ZOR,C000018,1000,30,02,EUR
OR00003536,2022-02-12,RE,C000035,2000,20,02,USD
OR00003537,2022-07-27,RE,C000042,3000,20,00,EUR
OR00003538,2022-11-06,OR,C000008,2000,10,02,GBP
OR00003539,2023-07-22,ZOR,C000010,3000,20,01,GBP
OR00003540,2021-10-10,OR,C000067,2000,20,00,USD
OR00003541,2022-06-03,ZOR,C000061,3000,10,01,EUR
OR00003542,2023-11-23,OR,C000079,2000,10,02,GBP
OR00003543,2022-03-10,OR,C000072,1000,20,00,GBP
OR00003544,2022-10-24,RE,C000045,1000,20,00,EUR
OR00003545,2024-01-26,ZOR,C000042,1000,10,00,GBP
OR00003546,2022-03-22,OR,C000003,3000,30,02,GBP
OR00003547,2021-11-22,ZOR,C000026,1000,10,00,USD
OR00003548,2023-02-27,OR,C000045,3000,30,00,USD
OR00003549,2022-09-14,RE,C000015,2000,20,00,GBP
OR00003550,2023-04-29,OR,C000037,2000,10,02,USD
OR00003551,2023-11-17,OR,C000069,2000,20,01,USD
OR00003552,2022-02-23,ZOR,C000070,3000,10,00,EUR
OR00003553,2023-05-12,OR,C000002,2000,30,00,EUR
OR00003554,2023-03-16,ZOR,C000056,1000,10,02,EUR
OR00003555,2022-03-06,OR,C000003,3000,30,01,USD
OR00003556,2023-06-13,ZOR,C000060,1000,30,01,EUR
OR00003557,2022-08-15,RE,C000036,3000,10,01,EUR
OR00003558,2023-03-01,RE,C000025,3000,30,01,USD
OR00003559,2021-11-21,OR,C000016,1000,10,00,USD
OR00003560,2023-02-06,RE,C000070,3000,20,02,GBP
OR00003561,2022-09-19,RE,C000007,3000,10,01,USD
OR00003562,2023-12-07,RE,C000047,1000,30,02,GBP
OR00003563,2021-09-27,OR,C000073,1000,30,00,EUR
OR00003564,2023-01-02,ZOR,C000034,3000,20,00,USD
OR00003565,2023-02-05,OR,C000049,1000,20,00,EUR
OR00003566,2023-09-03,OR,C000056,1000,10,00,USD
OR00003567,2023-05-08,ZOR,C000061,3000,20,01,GBP
OR00003568,2023-07-17,OR,C000016,1000,10,02,GBP
OR00003569,2023-10-21,RE,C000059,1000,30,02,USD
OR00003570,2024-01-23,ZOR,C000045,3000,10,02,USD
OR00003571,2022-09-26,ZOR,C000058,2000,20,01,GBP
OR00003572,2023-04-10,ZOR,C000008,3000,10,02,GBP
OR00003573,2023-12-27,ZOR,C000040,2000,30,02,EUR
OR00003574,2024-09-27,ZOR,C000017,1000,10,00,EUR
OR00003575,2024-02-28,OR,C000024,3000,10,00,EUR
OR00003576,2022-11-21,ZOR,C000039,2000,20,02,GBP
OR00003577,2022-05-15,OR,C000076,3000,10,02,EUR
OR00003578,2023-03-03,ZOR,C000055,2000,20,01,USD
OR00003579,2023-09-18,ZOR,C000070,1000,20,02,EUR
OR00003580,2023-03-05,OR,C000062,2000,10,01,GBP
OR00003581,2023-02-26,ZOR,C000042,1000,10,00,USD
OR00003582,2023-12-25,RE,C000074,2000,30,01,GBP
OR00003583,2022-11-11,ZOR,C000066,2000,20,02,USD
OR00003584,2024-01-20,OR,C000052,3000,10,01,USD
OR00003585,2022-12-23,ZOR,C000006,2000,20,02,GBP
OR00003586,2022-10-10,RE,C000042,1000,20,00,USD
OR00003587,2023-02-01,ZOR,C000071,3000,10,00,EUR
OR00003588,2023-10-07,ZOR,C000041,1000,30,01,EUR
OR00003589,2022-02-06,ZOR,C000032,3000,10,00,GBP
OR00003590,2022-05-17,RE,C000066,3000,30,02,USD
OR00003591,2024-06-10,RE,C000034,1000,10,02,USD
OR00003592,2022-04-19,RE,C000037,2000,10,02,GBP
OR00003593,2023-05-03,ZOR,C000010,2000,10,00,USD
OR00003594,2023-05-11,RE,C000051,3000,20,01,USD
OR00003595,2023-03-03,OR,C000032,1000,10,01,USD
OR00003596,2023-06-29,OR,C000017,2000,30,01,GBP
OR00003597,2022-06-27,RE,C000074,3000,20,02,USD
OR00003598,2023-04-21,ZOR,C000068,1000,30,00,USD
OR00003599,2022-11-21,RE,C000022,3000,20,02,USD
OR00003600,2023-07-12,OR,C000010,3000,20,01,GBP
OR00003601,2022-03-01,OR,C000001,1000,20,00,GBP
OR00003602,2023-05-05,OR,C000073,3000,20,02,EUR
OR00003603,2022-05-02,OR,C000040,3000,10,00,GBP
OR00003604,2022-08-20,OR,C000001,3000,30,01,GBP
OR00003605,2022-06-13,OR,C000014,3000,20,01,USD
OR00003606,2022-04-29,OR,C000018,2000,20,02,USD
OR00003607,2023-12-11,OR,C000020,1000,20,01,USD
OR00003608,2022-08-28,ZOR,C000056,3000,30,01,USD
OR00003609,2024-04-25,RE,C000062,2000,30,00,EUR
OR00003610,2024-07-23,ZOR,C000019,2000,30,02,USD
OR00003611,2023-05-05,ZOR,C000017,1000,10,01,EUR
OR00003612,2022-03-04,ZOR,C000025,2000,20,01,EUR
OR00003613,2022-11-24,ZOR,C000056,2000,20,01,GBP
OR00003614,2023-11-11,ZOR,C000038,1000,30,02,USD
OR00003615,2022-11-17,OR,C000024,2000,20,02,EUR
OR00003616,2021-11-30,RE,C000047,3000,30,02,USD
OR00003617,2023-04-24,RE,C000021,2000,30,00,EUR
OR00003618,2024-01-02,OR,C000012,2000,10,00,USD
OR00003619,2023-11-09,RE,C000037,3000,10,01,EUR
OR00003620,2022-04-19,OR,C000026,2000,10,02,USD
OR00003621,2023-07-21,ZOR,C000044,1000,30,00,GBP
OR00003622,2022-06-16,OR,C000028,2000,10,00,USD
OR00003623,2022-06-13,RE,C000035,2000,10,00,EUR
OR00003624,2024-02-07,ZOR,C000024,3000,30,02,USD
OR00003625,2022-07-20,RE,C000002,1000,30,01,USD
OR00003626,2022-08-04,RE,C000052,2000,20,00,EUR
OR00003627,2021-01-29,ZOR,C000063,3000,10,01,GBP
OR00003628,2024-02-02,ZOR,C000018,1000,20,00,USD
OR00003629,2023-11-06,ZOR,C000045,2000,10,00,GBP
OR00003630,2023-06-16,RE,C000054,2000,10,02,EUR
OR00003631,2023-09-26,ZOR,C000049,1000,10,02,GBP
OR00003632,2022-03-17,ZOR,C000049,3000,30,00,USD
OR00003633,2023-02-05,RE,C000045,3000,30,01,USD
OR00003634,2022-11-02,ZOR,C000075,1000,20,02,USD
OR00003635,2021-12-13,OR,C000079,1000,20,00,USD
OR00003636,2023-02-28,RE,C000002,3000,30,02,GBP
OR00003637,2024-04-15,ZOR,C000022,2000,30,00,USD
OR00003638,2021-08-15,ZOR,C000034,2000,20,00,EUR
OR00003639,2022-09-03,OR,C000019,2000,10,00,USD
OR00003640,2022-05-31,ZOR,C000056,3000,10,02,EUR
OR00003641,2022-07-06,RE,C000013,2000,30,02,USD
OR00003642,2024-03-26,RE,C000053,2000,20,02,USD
OR00003643,2023-02-13,ZOR,C000015,2000,20,00,GBP
OR00003644,2023-02-12,ZOR,C000041,2000,20,02,GBP
OR00003645,2023-10-06,OR,C000016,3000,20,00,GBP
OR00003646,2022-03-21,RE,C000080,1000,30,01,GBP
OR00003647,2023-03-01,RE,C000066,2000,30,01,USD
OR00003648,2023-01-12,RE,C000026,2000,20,00,GBP
OR00003649,2023-05-24,RE,C000059,1000,10,01,GBP
OR00003650,2024-12-11,OR,C000058,1000,10,00,USD
OR00003651,2023-10-14,ZOR,C000073,2000,20,00,USD
OR00003652,2022-12-15,OR,C000036,1000,10,02,GBP
OR00003653,2023-12-13,ZOR,C000025,1000,30,01,USD
OR00003654,2022-04-13,RE,C000015,1000,30,02,GBP
OR00003655,2021-07-17,RE,C000034,1000,30,00,GBP
OR00003656,2022-05-27,ZOR,C000004,3000,10,00,EUR
OR00003657,2022-10-22,OR,C000057,1000,30,01,USD
OR00003658,2023-03-20,OR,C000062,3000,10,01,GBP
OR00003659,2023-06-07,OR,C000012,2000,20,02,GBP
OR00003660,2024-03-29,RE,C000069,2000,20,00,USD
OR00003661,2023-03-19,ZOR,C000014,3000,30,02,EUR
OR00003662,2023-03-12,ZOR,C000072,3000,10,01,EUR
OR00003663,2021-09-11,RE,C000002,3000,10,01,USD
OR00003664,2021-07-31,RE,C000050,3000,10,02,GBP
OR00003665,2023-04-20,ZOR,C000052,1000,20,00,EUR
OR00003666,2023-01-19,RE,C000058,3000,10,00,EUR
OR00003667,2023-12-26,OR,C000020,1000,20,01,USD
OR00003668,2022-03-30,RE,C000070,1000,10,00,EUR
OR00003669,2021-06-28,OR,C000061,2000,20,02,GBP
OR00003670,2023-01-28,OR,C000073,3000,20,02,GBP
OR00003671,2022-07-06,OR,C000051,3000,30,00,GBP
OR00003672,2021-09-09,RE,C000063,3000,30,01,USD
OR00003673,2023-09-03,RE,C000026,1000,20,02,GBP
OR00003674,2022-01-13,OR,C000067,3000,20,01,EUR
OR00003675,2023-06-02,RE,C000006,3000,20,00,GBP
OR00003676,2022-08-23,RE,C000044,2000,30,00,USD
OR00003677,2022-04-17,RE,C000008,3000,10,01,EUR
OR00003678,2022-11-28,OR,C000058,2000,30,01,EUR
OR00003679,2023-11-15,RE,C000034,2000,30,00,GBP
OR00003680,2022-12-10,ZOR,C000037,2000,20,02,EUR
OR00003681,2023-09-27,RE,C000007,1000,10,01,GBP
OR00003682,2022-02-05,RE,C000039,3000,10,02,GBP
OR00003683,2023-10-17,OR,C000055,3000,20,01,EUR
OR00003684,2022-07-05,OR,C000013,2000,10,02,USD
OR00003685,2023-07-25,RE,C000020,3000,20,00,EUR
OR00003686,2023-05-01,ZOR,C000072,2000,10,02,USD
OR00003687,2024-04-29,OR,C000046,2000,10,01,EUR
OR00003688,2022-12-05,RE,C000080,3000,20,02,GBP
OR00003689,2021-10-18,OR,C000014,1000,10,01,EUR
OR00003690,2021-06-06,ZOR,C000008,1000,30,02,EUR
OR00003691,2023-12-12,OR,C000056,2000,10,01,USD
OR00003692,2023-03-31,OR,C000016,3000,20,02,GBP
OR00003693,2023-10-20,ZOR,C000037,3000,20,02,GBP
OR00003694,2022-07-02,RE,C000076,3000,10,01,EUR
OR00003695,2022-10-27,RE,C000018,1000,10,00,USD
OR00003696,2021-07-16,ZOR,C000001,1000,10,02,USD
OR00003697,2024-07-02,OR,C000064,2000,30,01,EUR
OR00003698,2023-07-17,RE,C000026,1000,20,00,GBP
OR00003699,2024-05-06,RE,C000006,1000,30,00,GBP
OR00003700,2022-08-06,RE,C000065,1000,20,02,GBP
OR00003701,2023-06-04,ZOR,C000007,1000,30,00,USD
OR00003702,2023-07-26,OR,C000080,1000,30,02,USD
OR00003703,2022-09-30,ZOR,C000015,1000,10,00,EUR
OR00003704,2024-01-06,RE,C000061,3000,20,01,USD
OR00003705,2024-06-01,RE,C000025,2000,10,00,USD
OR00003706,2024-02-21,RE,C000032,2000,10,02,EUR
OR00003707,2023-09-16,RE,C000034,1000,30,00,EUR
OR00003708,2022-08-19,OR,C000010,3000,10,01,EUR
OR00003709,2022-08-24,RE,C000074,2000,20,00,EUR
OR00003710,2024-07-07,RE,C000055,2000,10,00,EUR
OR00003711,2021-04-25,ZOR,C000008,3000,10,02,USD
OR00003712,2023-08-26,OR,C000046,3000,30,00,EUR
OR00003713,2023-08-18,ZOR,C000045,2000,20,02,GBP
OR00003714,2023-06-12,RE,C000036,2000,30,01,USD
OR00003715,2024-09-30,OR,C000007,1000,30,00,USD
OR00003716,2022-09-24,ZOR,C000054,1000,30,01,USD
OR00003717,2022-10-22,OR,C000028,2000,20,00,GBP
OR00003718,2021-11-14,ZOR,C000010,2000,30,01,USD
OR00003719,2023-01-23,OR,C000020,1000,30,00,EUR
OR00003720,2022-08-01,OR,C000007,1000,20,01,GBP
OR00003721,2022-10-25,OR,C000062,2000,30,00,EUR
OR00003722,2023-12-21,ZOR,C000044,1000,10,00,USD
OR00003723,2024-05-10,ZOR,C000017,1000,30,01,GBP
OR00003724,2022-05-03,ZOR,C000062,2000,10,02,USD
OR00003725,2022-11-22,OR,C000068,1000,30,02,EUR
OR00003726,2024-04-28,RE,C000016,1000,20,02,GBP
OR00003727,2021-10-09,OR,C000076,1000,20,02,EUR
OR00003728,2021-12-10,ZOR,C000042,1000,10,00,USD
OR00003729,2022-04-02,RE,C000006,3000,10,02,EUR
OR00003730,2023-05-23,RE,C000009,3000,10,02,GBP
OR00003731,2022-03-15,OR,C000050,3000,20,02,GBP
OR00003732,2024-07-19,ZOR,C000061,2000,30,02,GBP
OR00003733,2023-01-26,ZOR,C000067,1000,10,00,USD
OR00003734,2023-03-12,RE,C000063,3000,30,02,EUR
OR00003735,2022-07-16,ZOR,C000039,1000,30,00,GBP
OR00003736,2023-02-16,RE,C000047,1000,30,00,GBP
OR00003737,2023-07-13,RE,C000064,2000,20,00,GBP
OR00003738,2023-09-27,OR,C000054,1000,30,02,GBP
OR00003739,2023-09-29,OR,C000045,3000,10,01,USD
OR00003740,2023-05-10,OR,C000032,2000,20,01,USD
OR00003741,2024-03-20,ZOR,C000021,2000,30,01,EUR
OR00003742,2023-12-02,RE,C000009,2000,20,01,EUR
OR00003743,2023-10-02,ZOR,C000077,2000,10,01,USD
OR00003744,2021-09-24,ZOR,C000049,1000,30,02,GBP
OR00003745,2021-04-04,RE,C000018,3000,30,00,USD
OR00003746,2022-06-06,OR,C000055,3000,10,02,GBP
OR00003747,2023-07-14,RE,C000074,2000,20,01,EUR
OR00003748,2022-12-27,RE,C000067,2000,20,00,USD
OR00003749,2022-12-19,RE,C000001,1000,30,02,GBP
OR00003750,2024-02-21,OR,C000033,2000,10,00,EUR
OR00003751,2024-03-07,OR,C000037,2000,30,00,EUR
OR00003752,2024-03-27,RE,C000074,3000,20,02,EUR
OR00003753,2022-09-26,ZOR,C000008,3000,30,02,EUR
OR00003754,2023-08-05,RE,C000005,2000,30,00,EUR
OR00003755,2022-08-13,OR,C000070,1000,30,01,EUR
OR00003756,2022-05-09,ZOR,C000053,1000,20,01,EUR
OR00003757,2022-05-01,OR,C000034,2000,10,01,USD
OR00003758,2022-10-24,RE,C000057,3000,10,00,USD
OR00003759,2023-01-12,OR,C000045,3000,30,01,USD
OR00003760,2023-12-17,OR,C000071,3000,10,02,GBP
OR00003761,2022-01-27,OR,C000063,3000,10,02,EUR
OR00003762,2023-09-12,OR,C000064,3000,20,00,USD
OR00003763,2023-04-05,ZOR,C000014,1000,30,01,USD
OR00003764,2022-08-30,ZOR,C000026,3000,30,01,USD
OR00003765,2023-03-05,OR,C000073,2000,30,02,USD
OR00003766,2022-09-12,ZOR,C000051,1000,20,02,EUR
OR00003767,2023-05-24,OR,C000070,3000,10,02,EUR
OR00003768,2023-01-15,OR,C000059,2000,30,00,GBP
OR00003769,2022-04-04,RE,C000059,2000,10,00,USD
OR00003770,2022-01-22,ZOR,C000022,2000,20,02,EUR
OR00003771,2023-04-17,RE,C000015,3000,30,01,GBP
OR00003772,2024-03-17,ZOR,C000002,1000,30,02,EUR
OR00003773,2022-10-26,ZOR,C000040,1000,20,01,EUR
OR00003774,2023-09-10,ZOR,C000035,2000,10,00,GBP
OR00003775,2023-07-10,RE,C000042,1000,30,01,USD
OR00003776,2024-05-03,OR,C000018,3000,20,00,EUR
OR00003777,2023-12-06,OR,C000044,2000,30,00,USD
OR00003778,2023-05-02,ZOR,C000061,1000,20,01,EUR
OR00003779,2023-07-09,ZOR,C000029,1000,10,01,GBP
OR00003780,2024-03-11,ZOR,C000044,2000,10,00,USD
OR00003781,2022-12-16,OR,C000021,1000,20,00,USD
OR00003782,2022-10-09,ZOR,C000018,1000,30,02,USD
OR00003783,2021-04-28,RE,C000021,2000,20,02,EUR
OR00003784,2023-12-12,ZOR,C000061,1000,10,02,GBP
OR00003785,2023-11-15,ZOR,C000034,3000,30,00,USD
OR00003786,2022-01-01,RE,C000002,2000,30,00,USD
OR00003787,2023-05-09,ZOR,C000057,3000,20,01,EUR
OR00003788,2023-02-10,OR,C000026,1000,30,00,USD
OR00003789,2022-01-25,OR,C000071,1000,10,00,EUR
OR00003790,2024-08-24,ZOR,C000042,2000,10,02,USD
OR00003791,2022-06-09,OR,C000001,1000,10,00,USD
OR00003792,2021-10-21,ZOR,C000014,3000,30,02,EUR
OR00003793,2023-05-23,ZOR,C000035,3000,10,01,GBP
OR00003794,2023-09-16,ZOR,C000061,2000,30,00,GBP
OR00003795,2021-07-23,OR,C000061,3000,30,00,GBP
OR00003796,2023-07-10,OR,C000075,2000,30,01,EUR
OR00003797,2023-04-06,OR,C000010,1000,10,00,GBP
OR00003798,2021-12-30,ZOR,C000062,2000,30,00,EUR
OR00003799,2022-04-15,OR,C000057,3000,10,02,EUR
OR00003800,2023-05-03,OR,C000067,2000,10,02,EUR
OR00003801,2022-09-08,OR,C000039,1000,20,00,USD
